class,sc,omc_sc,cov_gap
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/BasicFixedMonthChronology.html>org.joda.time.chrono.BasicFixedMonthChronology</a>,90.32258,3.2258062,87.09677
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/tz/DateTimeZoneBuilder.html>org.joda.time.tz.DateTimeZoneBuilder</a>,88.88889,21.62963,67.25926
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/format/DateTimeParserBucket.html>org.joda.time.format.DateTimeParserBucket</a>,95.27027,79.054054,16.216217
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/UnsupportedDateTimeField.html>org.joda.time.field.UnsupportedDateTimeField</a>,100.0,95.522385,4.4776154
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/ScaledDurationField.html>org.joda.time.field.ScaledDurationField</a>,100.0,85.71429,14.285713
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/convert/ConverterSet.html>org.joda.time.convert.ConverterSet</a>,99.1453,69.230774,29.914528
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/PreciseDurationDateTimeField.html>org.joda.time.field.PreciseDurationDateTimeField</a>,100.0,76.0,24.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/MonthDay.html>org.joda.time.MonthDay</a>,97.41379,54.310345,43.103443
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/MutablePeriod.html>org.joda.time.MutablePeriod</a>,96.55172,59.770115,36.781605
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/GJCacheKey.html>org.joda.time.chrono.GJCacheKey</a>,65.51724,62.068962,3.4482803
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/LocalDateTime.html>org.joda.time.LocalDateTime</a>,93.86503,64.11043,29.7546
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/tz/FixedDateTimeZone.html>org.joda.time.tz.FixedDateTimeZone</a>,100.0,95.454544,4.545456
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/MutableDateTime.html>org.joda.time.MutableDateTime</a>,98.96907,36.082474,62.886597
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/tz/CachedDateTimeZone.html>org.joda.time.tz.CachedDateTimeZone</a>,88.4058,37.68116,50.72464
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/PreciseDateTimeField.html>org.joda.time.field.PreciseDateTimeField</a>,100.0,68.42105,31.578949
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/GJLocaleSymbols.html>org.joda.time.chrono.GJLocaleSymbols</a>,98.8764,67.41573,31.46067
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/convert/ReadableDurationConverter.html>org.joda.time.convert.ReadableDurationConverter</a>,100.0,88.88889,11.111107
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/base/BaseDuration.html>org.joda.time.base.BaseDuration</a>,100.0,79.16667,20.833328
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/DateMidnight.html>org.joda.time.DateMidnight</a>,99.346405,71.895424,27.450981
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/DecoratedDateTimeField.html>org.joda.time.field.DecoratedDateTimeField</a>,93.333336,53.333336,40.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/Months.html>org.joda.time.Months</a>,100.0,77.631584,22.368416
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/YearMonthDay.html>org.joda.time.YearMonthDay</a>,100.0,55.555557,44.444443
